Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule,total_students,Section,SectionMode,CrossDeptGroup,CrossDeptMode,
CSE,2,MA163,Linear Algebra,3,1,0,0,2,Dr. Anand Barangi,NO,220,ALL,COMBINED,,,
CSE,2,CS162,Optimization,3,1,0,0,2,Dr. Dibyajyoti Guha,YES,220,ALL,COMBINED,,,
CSE,2,CS163,Data Structures and Algorithms,3,0,2,0,4,Dr. Vivekraj,YES,150,A,SPLIT,,,
CSE,2,CS163,Data Structures and Algorithms,3,0,2,0,4,Dr. Suvadip Hazra,YES,150,B,SPLIT,,,
CSE,2,CS208,Computer Architecture,3,0,2,0,2,Dr. Prabhu Prasad,NO,110,A,SPLIT,,,
CSE,2,CS208,Computer Architecture,3,0,2,0,2,Dr. Swagatika Sahoo,YES,110,B,SPLIT,,,
CSE,2,CS165/CS201,Mathematical Foundations of Computing/Discrete Mathematics,3,0,0,0,3,Dr. Suvadip Hazra,YES,110,A,SPLIT,,,
CSE,2,CS165/CS201,Mathematical Foundations of Computing/Discrete Mathematics,3,0,0,0,3,Dr. Suvadip Hazra,YES,110,B,SPLIT,,,
CSE,2,B1-ASD152,Visual Design,3,1,0,0,2,Dr. Sandesh P,NO,,,,,,
CSE,2,B1-CS154,Introduction to Data Analytics,3,1,0,0,2,Dr. Abdul Wahid,NO,11,,,,,
CSE,2,B1-EC156,Introduction to Sensor Technology,3,1,0,0,2,Dr. Muthusankar Eswaran,NO,20,,,,,
CSE,2,B1-CS155+EC153,Introduction to Blockchain + Introduction to IoT,3,1,0,0,2,Dr. Swagatika Sahoo,NO,17,,,,,
CSE,2,B2-DS151,Linux for Engineers,3,1,0,0,2,Dr. Shrishendu Layek,YES,,,,,,
CSE,2,B2-CS151,Introduction to Cybersecurity,3,1,0,0,2,Dr. Rajendra Hegadi,YES,,,,,,
CSE,2,B2-DA151,Introduction to Financial Analytics,3,1,0,0,2,Prof. S R M Prasanna,YES,,,,,,
CSE,2,HS159,Principles of Quantum Physics,3,1,0,0,2,,YES,,,,,,
CSE,2,B2-EC155,Fundamentals of Sensing and Control-II,3,1,0,0,2,,YES,,,,,,
CSE,2,B1-NEW,Consumer Psychology and Decision Making,3,1,0,0,2,,,,,,,,
CSE,2,B1-NEW,Strategic Management,3,1,0,0,2,,,,,,,,
DSAI,2,MA163,Linear Algebra,3,1,0,0,2,Dr. Anand Barangi,YES,100,,,CE_SHARED_1,COMBINED,
DSAI,2,MA111,Li,3,1,0,0,2,Dr. A,YES,215,,,CE_SHARED_4,COMBINED,
DSAI,2,MA112,sfa,3,1,0,0,2,Dr. B,YES,215,,,CE_SHARED_5,COMBINED,
DSAI,2,CS162,Optimization,3,1,0,0,2,Dr. Dibyajyoti Guha,NO,215,,,CE_SHARED_2,COMBINED,
DSAI,2,CS163,Data Structures and Algorithms,3,0,2,0,4,Dr. Sunil Saumya,YES,132,,,,,
DSAI,2,CS164,Computer Architecture,3,0,2,0,2,Dr. Manjunath K V,YES,132,,,,,
DSAI,2,DS164,Data Curation Techniques,2,0,2,0,3,Dr. Ramesh Athe,YES,132,,,,,
ECE,2,MA163,Linear Algebra,3,1,0,0,2,Dr. Anand Barangi,YES,100,,,CE_SHARED_1,COMBINED,
ECE,2,MA111,Li,3,1,0,0,2,Dr. A,YES,215,,,CE_SHARED_4,COMBINED,
ECE,2,MA112,sfa,3,1,0,0,2,Dr. B,YES,215,,,CE_SHARED_5,COMBINED,
ECE,2,CS162,Optimization,3,1,0,0,2,Dr. Dibyajyoti Guha,NO,215,,,CE_SHARED_2,COMBINED,
ECE,2,CS163,Data Structures and Algorithms,3,0,2,0,4,Dr. Prabhu Prasad,YES,132,,,,,
ECE,2,CS164,Computer Architecture,3,0,2,0,2,Dr.Jagdish D.N,NO,,,,,,
ECE,2,EC162,Network Analysis,3,0,0,0,3,Dr. Somen Bhattacharjee,YES,,,,,,
CSE,4,CS265,Software Engineering,3,1,0,0,2,Dr. Sunil P V,YES,85,A,SPLIT,,,
CSE,4,CS265,Software Engineering,3,1,0,0,2,Dr. Sunil P V,NO,85,B,SPLIT,,,
CSE,4,CS266,Database Management System,3,0,2,0,4,Dr. Abdul Wahid,YES,85,B,SPLIT,,,
CSE,4,CS211,os,3,0,2,0,4,Dr. Abdul Wahid,YES,85,B,SPLIT,,,
CSE,4,CS266,Database Management System,3,0,2,0,4,Dr. Pramod Yelmevad,YES,85,A,SPLIT,,,
CSE,4,CS304,Artificial Intelligence,3,1,0,0,4,Dr. Girish,YES,85,B,SPLIT,,,
CSE,4,CS304,Artificial Intelligence,3,1,0,0,4,Dr. Krishnendu,YES,85,A,SPLIT,,,
CSE,4,CS267,Systems and Usable Security,3,1,0,0,2,Dr. Malay,YES,83,B,SPLIT,,,
CSE,4,CS267,Systems and Usable Security,3,1,0,0,2,Dr. Malay,NO,83,A,SPLIT,,,
CSE,4,CS206,Theory Of Computing,3,1,0,0,4,"Dr. Animesh Roy , Dr. Pavan",YES,84,A,SPLIT,,,
CSE,4,CS206,Theory Of Computing,3,1,0,0,4,Dr. Pavan,YES,85,B,SPLIT,,,
CSE,4,B2-CS252,Digital Forensic,3,1,0,0,2,Dr. Abdul Wahid,YES,,,,,,
CSE,4,B1-EC255,Embedded Intelligent Sensing Systems,3,1,0,0,2,Dr. Sibasankar Padhy,NO,30,,,,,
CSE,4,B1-EC256,Edge AI Systems Design,3,1,0,0,2,Dr. Deepak K.T.,NO,,,,,,
CSE,4,B2-EC257,Causal Ineference,3,1,0,0,2,Dr. Chinmayananda A,YES,,,,,,
CSE,4,B2- CS253,Time Series Forecasting and Applications,3,1,0,0,2,Dr. Nataraj,YES,,,,,,
DSAI,4,DS308,Data Security and Privacy,3,1,0,0,4,Dr. Girish Revadigar,YES,,,,CE_SHARED_3,COMBINED,
DSAI,4,DA263,Big Data Analytics,3,1,0,0,4,Dr. Animesh Chaturvedi,YES,85,,,,,
DSAI,4,DA264,Database Management and Warehousing,3,1,0,0,4,Dr. Utkarsh,YES,85,,,,,
DSAI,4,,Operating Systems,3,1,0,0,2,Dr. Siddharth R,YES,,,,,,
ECE,4,EC264,Analog and Digital Communication,nan,,,,3,Dr. Somen Bhattacharjee,YES,,,,,,
ECE,4,EC265,Linear Integrated Circuits,1,0,2,0,2,Dr. Rajesh Kumar,NO,,,,,,
ECE,4,EC266,Control System,nan,,,,,Dr. Pankaj Kumar,YES,,,,,,
ECE,4,EC267,Digital Signal Processing,nan,,,,,Dr. Sibasankar Padhy,NO,,,,,,
ECE,4,EC268,Embedded System Design,nan,,,,,Dr. Prakash Pawar,YES,,,,,,
